overall_rank,position_rank,player_name,position,current_team,player_type,fantasy_points_ppr,ppg,composite_score,consistency_score,injury_risk_score,team_context_score,avg_games_per_season,depth_chart_rank
529.0,93.0,B.Sinnott,TE,WAS,rookie,13.8,3.45,0.37520882957477286,0.49978137639037795,0.5,0.575,5.0,50.5
530.0,226.0,E.Ezukanma,WR,MIA,2nd_year,2.2,1.1,0.3737956264953765,1.0,0.8823529411764706,0.7849999999999999,2.0,110.5
531.0,75.0,J.Wolford,QB,JAX,veteran,14.8,7.4,0.3733594204377328,0.8,0.8823529411764706,0.6799999999999999,2.0,50.5
532.0,94.0,C.Turner,TE,WAS,2nd_year,23.0,3.2857142857142856,0.3717129981150818,0.3090169912399222,0.5882352941176471,0.575,7.0,110.5
533.0,95.0,T.Jackson,TE,WAS,veteran,11.2,3.733333333333333,0.3680804247010007,0.8,0.8235294117647058,0.575,3.0,130.5
534.0,227.0,R.Cracraft,WR,WAS,veteran,13.600000000000001,3.4000000000000004,0.36557555799789887,0.4456125158706288,0.6894117647058822,0.575,6.0,190.5
535.0,96.0,G.Ricci,TE,MIN,veteran,18.0,3.0,0.36542686170644856,0.437371103159697,0.6470588235294117,0.6449999999999999,6.0,90.5
536.0,76.0,M.Trubisky,QB,BUF,veteran,15.259999999999998,1.9074999999999998,0.36385140869210747,0.50708861012683,0.6464705882352941,0.82,6.25,30.5
537.0,228.0,J.Proche,WR,TEN,veteran,12.200000000000001,1.742857142857143,0.3637477002742112,0.4127648187288152,0.5882352941176471,0.575,7.0,124.0
538.0,229.0,T.Burks,WR,TEN,veteran,7.5,1.5,0.3634063341986047,0.6253530681490764,0.6231746880115706,0.575,7.0,238.0
539.0,77.0,T.DeVito,QB,NYG,veteran,13.480000000000002,6.740000000000001,0.36284068136202857,0.7553277212953015,0.7376145275496604,0.47,5.5,70.5
540.0,230.0,S.Miller,WR,PIT,veteran,11.9,2.975,0.36267266153101696,0.4378123429208558,0.6275792921209391,0.6099999999999999,7.25,70.5
541.0,97.0,B.Spann-Ford,TE,DAL,veteran,17.8,2.966666666666667,0.3618396750876988,0.372399950045694,0.6470588235294117,0.7849999999999999,6.0,50.5
542.0,78.0,S.Thompson,QB,PIT,rookie,17.46,2.494285714285714,0.3617311375547298,0.4167753741564736,0.5,0.6099999999999999,3.0,70.5
543.0,98.0,P.Brown,TE,MIA,veteran,12.5,1.5625,0.3611739662366343,0.39947401394963994,0.5060971675816793,0.7849999999999999,9.0,50.5
544.0,231.0,F.Darby,WR,ATL,2nd_year,2.5,2.5,0.35999904080356954,1.0,0.9411764705882353,0.7349999999999999,1.0,
545.0,138.0,T.Ebner,RB,CHI,rookie,8.200000000000001,1.1714285714285715,0.35656213290960975,0.38934188400058684,0.5,0.63,7.5,
546.0,232.0,T.Marshall,WR,PHI,veteran,7.1000000000000005,1.4200000000000002,0.35646129764772827,0.5075472978408144,0.578355189943652,0.75,8.666666666666666,90.5
547.0,79.0,T.Heinicke,QB,LAC,veteran,3.12,0.78,0.3552904200381893,0.776455992347551,0.6378711426285749,0.715,8.5,30.5
548.0,233.0,M.Washington,WR,NYG,rookie,7.2,0.8,0.3549099292841759,0.5467001788442887,0.5,0.47,15.5,170.5
549.0,234.0,T.Thornton,WR,KC,veteran,8.7,2.175,0.3532182509254226,0.46962810255110277,0.6613213011909338,0.82,6.5,110.5
550.0,235.0,M.Woods,WR,CLE,veteran,13.5,2.7,0.34689444768881755,0.3854805058240125,0.685205436708775,0.54,5.5,226.0
551.0,236.0,G.Olszewski,WR,NYG,veteran,14.200000000000001,1.4200000000000002,0.3459053198668839,0.34617269802432105,0.6406443849585324,0.47,7.0,210.5
552.0,99.0,K.Yeboah,TE,DET,veteran,15.7,2.6166666666666667,0.3420839699246106,0.3638418596837976,0.6470588235294117,0.75,6.0,125.5
553.0,100.0,T.Fisk,TE,LAC,veteran,10.9,1.5571428571428572,0.34082066173582937,0.4547920440631612,0.5882352941176471,0.715,7.0,70.5
554.0,101.0,B.Whiteheart,TE,CLE,veteran,17.1,2.442857142857143,0.34080182899205624,0.3580113188971975,0.5882352941176471,0.54,7.0,50.5
555.0,80.0,D.Thompson-Robinson,QB,PHI,2nd_year,15.8,2.6333333333333333,0.3390212271308083,0.4242957140943774,0.6470588235294117,0.75,6.0,50.5
556.0,102.0,I.Thomas,TE,LV,veteran,10.6,1.5142857142857142,0.33742671188534923,0.399598579882909,0.40363022559286493,0.47,11.333333333333334,50.5
557.0,103.0,L.Cager,TE,WAS,veteran,13.6,4.533333333333333,0.337192381541374,0.5622921080717794,0.7614986630675015,0.575,4.5,90.5
558.0,237.0,A.Baccellia,WR,ARI,veteran,11.5,2.3,0.3371816925070201,0.44232088983063683,0.7058823529411764,0.54,5.0,130.5
559.0,238.0,J.Winfree,WR,HOU,veteran,11.8,2.3600000000000003,0.3367676035895962,0.37279205339875693,0.7058823529411764,0.6799999999999999,5.0,181.0
560.0,104.0,J.Deguara,TE,ARI,veteran,14.5,3.625,0.33415095648919,0.4183928513963452,0.5920806801397304,0.5049999999999999,8.333333333333334,90.5
561.0,81.0,T.Boyle,QB,TEN,veteran,13.940000000000001,4.646666666666667,0.33356429345826083,0.6495058034884916,0.8169358954821464,0.575,3.3333333333333335,50.5
562.0,82.0,B.Rypien,QB,MIN,veteran,18.02,4.505,0.3293647487728674,0.47268944251762135,0.764705882352941,0.6449999999999999,4.0,70.5
563.0,105.0,Q.Morris,TE,JAX,veteran,14.600000000000001,2.9200000000000004,0.3292149391749018,0.4807103367141834,0.7855186192090915,0.6799999999999999,4.333333333333333,70.5
564.0,83.0,D.Mills,QB,HOU,veteran,9.580000000000002,2.3950000000000005,0.3287381212116804,0.5641322936916215,0.6663164783154486,0.6799999999999999,8.0,30.5
565.0,239.0,Z.Pascal,WR,NYG,veteran,5.9,0.6555555555555556,0.3277773850734676,0.36981329766659105,0.3502448487862563,0.47,12.333333333333334,150.5
566.0,84.0,H.Hooker,QB,DET,2nd_year,2.68,0.8933333333333334,0.3251119840824448,0.8,0.8235294117647058,0.75,3.0,30.5
567.0,139.0,K.Vaughn,RB,SF,veteran,6.4,1.28,0.32485101471252625,0.4444201836791626,0.699288836658617,0.7849999999999999,5.333333333333333,90.5
568.0,140.0,T.Homer,RB,CHI,veteran,6.3999999999999995,1.5999999999999999,0.32375293347979867,0.4698909070684177,0.6141176470588234,0.54,8.0,70.5
569.0,141.0,J.Ward,RB,NYG,veteran,9.7,1.6166666666666665,0.3216336573432147,0.3608652879418557,0.6470588235294117,0.47,6.0,110.5
570.0,106.0,D.Allen,TE,LA,2nd_year,9.9,1.6500000000000001,0.3185083656884381,0.5094896502079871,0.6470588235294117,0.54,6.0,70.5
571.0,240.0,T.Irwin,WR,JAX,veteran,4.5,1.125,0.3176167250265481,0.5007744598076844,0.6004934639178141,0.6799999999999999,7.666666666666667,90.5
572.0,142.0,Z.Evans,RB,LA,rookie,1.9000000000000001,0.47500000000000003,0.3169191021647109,0.5264907220110487,0.5,0.63,11.0,
573.0,241.0,D.Gray,WR,SF,rookie,2.9,0.58,0.31521474104253955,0.3960916501357134,0.5,0.8749999999999999,1.0,
574.0,85.0,T.Lance,QB,LAC,veteran,12.74,3.185,0.31512175251038854,0.5655256725529524,0.8409991087116676,0.715,3.0,50.5
575.0,107.0,W.Mallory,TE,IND,2nd_year,6.9,0.9857142857142858,0.3149473942632865,0.5008508413929068,0.5882352941176471,0.6099999999999999,7.0,70.5
576.0,86.0,J.Haener,QB,NO,2nd_year,13.24,1.655,0.31282968118130144,0.36602940275183715,0.5294117647058822,0.54,8.0,50.5
577.0,143.0,M.Boone,RB,MIA,veteran,5.9,1.1800000000000002,0.31247682280703515,0.36974408224473887,0.638477272469426,0.7849999999999999,6.666666666666667,70.5
578.0,242.0,C.Jones,WR,CIN,2nd_year,7.5,3.75,0.30929062550418335,0.5462328359033111,0.8823529411764706,0.75,2.0,90.5
579.0,108.0,N.Muse,TE,PHI,2nd_year,3.2,3.2,0.30827507932633635,0.8,0.9411764705882353,0.75,1.0,90.5
580.0,109.0,C.Woerner,TE,ATL,veteran,11.6,1.45,0.3051759893914121,0.3964021165665573,0.6819982174233352,0.6449999999999999,6.0,30.5
581.0,243.0,J.Thrash,WR,CLE,rookie,5.2,0.8666666666666667,0.301913557289945,0.3858645626152582,0.5,0.54,8.0,50.5
582.0,110.0,J.FitzPatrick,TE,GB,2nd_year,2.2,2.2,0.29805308762509153,0.8,0.9411764705882353,0.715,1.0,70.5
583.0,87.0,B.Perkins,QB,CAR,veteran,15.440000000000003,3.0880000000000005,0.2965717632538613,0.4215185207977013,0.7058823529411764,0.47,5.0,63.5
584.0,111.0,S.McKeon,TE,IND,veteran,12.7,3.175,0.29328591081232186,0.39943117070840395,0.764705882352941,0.6099999999999999,4.0,110.5
585.0,244.0,J.Harris,WR,TB,2nd_year,1.6,1.6,0.2920946802319316,0.8,0.9411764705882353,0.6449999999999999,1.0,190.5
586.0,112.0,J.Stoll,TE,NO,veteran,8.8,1.7600000000000002,0.2919377451068509,0.4136766229528427,0.6231746880115706,0.54,7.0,70.5
587.0,144.0,R.Ali,RB,BAL,rookie,3.1,0.775,0.2884506683431216,0.3222891846313472,0.5,0.715,5.0,70.5
588.0,113.0,K.Kieft,TE,TB,2nd_year,7.2,2.4,0.28521132955454603,0.5480754866340983,0.8235294117647058,0.6449999999999999,3.0,50.5
589.0,88.0,K.Trask,QB,TB,2nd_year,0.92,0.92,0.28135143615121677,0.8,0.9411764705882353,0.6449999999999999,1.0,30.5
590.0,89.0,B.Allen,QB,TEN,veteran,13.860000000000003,2.7720000000000007,0.28041469891508086,0.34983388876781796,0.7058823529411764,0.575,5.0,30.5
591.0,145.0,L.Rountree,RB,LAC,2nd_year,5.300000000000001,2.6500000000000004,0.28039067375648313,0.4566639220548387,0.8823529411764706,0.8049999999999999,2.0,
592.0,114.0,C.Grandy,TE,CIN,veteran,7.800000000000001,1.9500000000000002,0.2774741235433942,0.41193505897709154,0.764705882352941,0.75,4.0,130.5
593.0,90.0,C.Tune,QB,ARI,rookie,7.4799999999999995,1.2466666666666666,0.2772927043930625,0.3277415027413738,0.5,0.54,9.0,50.5
594.0,115.0,B.Sims,TE,GB,veteran,8.200000000000001,2.0500000000000003,0.273814964749793,0.36746017110885265,0.7233520498881381,0.715,5.0,50.5
595.0,245.0,R.Bell,WR,DET,2nd_year,4.2,1.4000000000000001,0.2710414458271201,0.4767745820496695,0.8235294117647058,0.75,3.0,150.5
596.0,246.0,J.Darden,WR,CLE,2nd_year,4.800000000000001,1.6000000000000003,0.2680759194649849,0.48916751507676104,0.8235294117647058,0.63,3.0,
597.0,146.0,D.Felton,RB,WAS,2nd_year,2.4,0.6,0.26626057611988163,0.5341514061751909,0.764705882352941,0.575,4.0,110.5
598.0,116.0,G.Dulcich,TE,NYG,2nd_year,5.5,2.75,0.25935162977622245,0.6354050546186805,0.8823529411764706,0.39999999999999997,2.0,90.5
599.0,117.0,T.Quitoriano,TE,ATL,2nd_year,5.300000000000001,1.7666666666666668,0.25705298744369726,0.48652925512016365,0.8235294117647058,0.6449999999999999,3.0,50.5
